iter	Passed	Remaining
438	1364	1743
439	1367	1740
440	1370	1736
441	1372	1733
442	1375	1729
443	1378	1726
444	1381	1722
445	1384	1719
446	1387	1716
447	1390	1712
448	1392	1709
449	1395	1705
450	1398	1702
451	1401	1699
452	1404	1695
453	1407	1692
454	1410	1689
455	1413	1686
456	1416	1683
457	1419	1679
458	1422	1676
459	1424	1672
460	1427	1669
461	1430	1665
462	1433	1662
463	1436	1659
464	1439	1656
465	1442	1652
466	1445	1649
467	1447	1645
468	1450	1642
469	1453	1638
470	1456	1635
471	1458	1631
472	1461	1628
473	1464	1625
474	1467	1621
475	1472	1620
476	1476	1618
477	1480	1616
478	1483	1614
479	1487	1611
480	1491	1608
481	1494	1606
482	1498	1603
483	1501	1600
484	1504	1597
485	1507	1593
486	1509	1590
487	1512	1587
488	1515	1583
489	1518	1580
490	1521	1577
491	1524	1573
492	1526	1570
493	1529	1566
494	1532	1563
495	1535	1560
496	1538	1556
497	1541	1553
498	1543	1549
499	1548	1548
500	1551	1545
501	1554	1542
502	1558	1539
503	1561	1536
504	1565	1534
505	1569	1532
506	1572	1529
507	1575	1526
508	1579	1523
509	1581	1519
510	1584	1516
511	1587	1513
512	1590	1509
513	1593	1506
514	1596	1503
515	1598	1499
516	1601	1496
517	1604	1492
518	1607	1489
519	1610	1486
520	1612	1482
521	1615	1479
522	1618	1476
523	1621	1472
524	1624	1469
525	1627	1466
526	1629	1462
527	1632	1459
528	1635	1456
529	1638	1452
530	1641	1449
531	1644	1446
532	1646	1442
533	1649	1439
534	1652	1436
535	1655	1432
536	1658	1429
537	1660	1426
538	1663	1422
539	1666	1419
540	1669	1416
541	1672	1412
542	1674	1409
543	1677	1406
544	1680	1402
545	1683	1399
546	1686	1396
547	1688	1393
548	1691	1389
549	1694	1386
550	1697	1383
551	1700	1379
552	1702	1376
553	1705	1373
554	1708	1369
555	1711	1366
556	1714	1363
557	1716	1359
558	1719	1356
559	1722	1353
560	1725	1349
561	1727	1346
562	1730	1343
563	1733	1340
564	1736	1336
565	1739	1333
566	1742	1330
567	1744	1327
568	1747	1323
569	1750	1320
570	1753	1317
571	1755	1313
572	1758	1310
573	1761	1307
574	1764	1304
575	1767	1300
576	1770	1297
577	1772	1294
578	1775	1291
579	1778	1288
580	1781	1284
581	1784	1281
582	1786	1278
583	1790	1275
584	1793	1271
585	1795	1268
586	1798	1265
587	1801	1262
588	1804	1258
589	1807	1255
590	1809	1252
591	1812	1249
592	1815	1246
593	1818	1242
594	1821	1239
595	1825	1237
596	1828	1234
597	1831	1230
598	1833	1227
599	1836	1224
600	1840	1221
601	1842	1218
602	1845	1215
603	1848	1211
604	1851	1208
605	1854	1205
606	1857	1202
607	1859	1199
608	1862	1195
609	1865	1192
610	1868	1189
611	1872	1187
612	1875	1184
613	1879	1181
614	1883	1179
615	1887	1176
616	1891	1174
617	1894	1171
618	1897	1168
619	1900	1164
620	1903	1161
621	1906	1158
622	1909	1155
623	1911	1152
624	1914	1148
625	1917	1145
626	1920	1142
627	1923	1139
628	1926	1136
629	1929	1132
630	1931	1129
631	1934	1126
632	1937	1123
633	1940	1120
634	1943	1117
635	1946	1114
636	1950	1111
637	1953	1108
638	1957	1105
639	1961	1103
640	1964	1100
641	1968	1097
642	1972	1094
643	1976	1092
644	1978	1089
645	1981	1085
646	1984	1082
647	1987	1079
648	1990	1076
649	1993	1073
650	1995	1069
651	1998	1066
652	2001	1063
653	2004	1060
654	2007	1057
655	2010	1054
656	2012	1050
657	2015	1047
658	2018	1044
659	2021	1041
660	2024	1038
661	2027	1034
662	2029	1031
663	2032	1028
664	2035	1025
665	2038	1022
666	2041	1019
667	2044	1015
668	2046	1012
669	2049	1009
670	2052	1006
671	2056	1003
672	2059	1000
673	2062	997
674	2065	994
675	2068	991
676	2071	988
677	2074	985
678	2077	981
679	2080	978
680	2083	976
681	2086	972
682	2089	969
683	2092	966
684	2095	963
685	2098	960
686	2101	957
687	2104	954
688	2107	951
689	2109	947
690	2112	944
691	2116	941
692	2118	938
693	2121	935
694	2124	932
695	2127	929
696	2130	926
697	2133	923
698	2136	919
699	2139	916
700	2142	913
701	2145	910
702	2147	907
703	2150	904
704	2153	901
705	2156	897
706	2159	894
707	2162	891
708	2164	888
709	2167	885
710	2170	882
711	2173	879
712	2176	875
713	2178	872
714	2181	869
715	2184	866
716	2187	863
717	2190	860
718	2192	857
719	2195	853
720	2198	850
721	2201	847
722	2204	844
723	2206	841
724	2209	838
725	2212	835
726	2215	831
727	2218	828
728	2221	825
729	2224	822
730	2227	819
731	2229	816
732	2232	813
733	2235	810
734	2237	806
735	2240	803
736	2243	800
737	2246	797
738	2249	794
739	2251	791
740	2254	788
741	2257	784
742	2260	781
743	2263	778
744	2265	775
745	2268	772
746	2271	769
747	2274	766
748	2277	763
749	2280	760
750	2282	756
751	2285	753
752	2288	750
753	2291	747
754	2294	744
755	2296	741
756	2299	738
757	2302	735
758	2305	732
759	2308	728
760	2311	725
761	2314	722
762	2317	719
763	2321	716
764	2324	714
765	2327	710
766	2330	707
767	2333	704
768	2335	701
769	2338	698
770	2341	695
771	2344	692
772	2347	689
773	2350	686
774	2352	683
775	2355	680
776	2358	676
777	2361	673
778	2364	670
779	2367	667
780	2369	664
781	2372	661
782	2375	658
783	2378	655
784	2381	652
785	2384	649
786	2387	646
787	2390	643
788	2393	640
789	2396	636
790	2398	633
791	2401	630
792	2404	627
793	2408	624
794	2410	621
795	2413	618
796	2416	615
797	2419	612
798	2422	609
799	2425	606
800	2427	603
801	2430	600
802	2433	596
803	2436	593
804	2439	590
805	2441	587
806	2444	584
807	2447	581
808	2450	578
809	2453	575
810	2456	572
811	2458	569
812	2461	566
813	2464	563
814	2467	560
815	2470	556
816	2472	553
817	2475	550
818	2478	547
819	2481	544
820	2484	541
821	2487	538
822	2491	535
823	2494	532
824	2498	529
825	2501	527
826	2505	524
827	2509	521
828	2512	518
829	2516	515
830	2519	512
831	2522	509
832	2524	506
833	2527	503
834	2530	500
835	2533	497
836	2536	493
837	2539	490
838	2541	487
839	2544	484
840	2548	481
841	2551	478
842	2555	475
843	2558	472
844	2562	469
845	2565	467
846	2569	464
847	2572	461
848	2575	458
849	2578	455
850	2581	452
851	2584	449
852	2587	445
853	2590	442
854	2593	439
855	2596	436
856	2599	433
857	2602	430
858	2605	427
859	2608	424
860	2611	421
861	2614	418
862	2616	415
863	2619	412
864	2622	409
865	2625	406
866	2628	403
867	2631	400
868	2634	397
869	2636	394
870	2639	390
871	2642	387
872	2645	384
873	2648	381
874	2651	378
875	2653	375
876	2656	372
877	2659	369
878	2662	366
879	2665	363
880	2668	360
881	2671	357
882	2673	354
883	2676	351
884	2679	348
885	2682	345
886	2685	342
887	2688	339
888	2690	335
889	2693	332
890	2697	329
891	2700	326
892	2702	323
893	2705	320
894	2708	317
895	2711	314
896	2714	311
897	2717	308
898	2720	305
899	2722	302
900	2725	299
901	2728	296
902	2731	293
903	2734	290
904	2737	287
905	2739	284
906	2742	281
907	2745	278
908	2748	275
909	2751	272
910	2754	269
911	2757	266
912	2760	263
913	2763	260
914	2767	257
915	2769	254
916	2772	250
917	2775	247
918	2778	244
919	2781	241
920	2784	238
921	2787	235
922	2789	232
923	2792	229
924	2797	226
925	2800	223
926	2802	220
927	2805	217
928	2809	214
929	2812	211
930	2814	208
931	2817	205
932	2820	202
933	2823	199
934	2826	196
935	2829	193
936	2832	190
937	2835	187
938	2838	184
939	2841	181
940	2844	178
941	2846	175
942	2849	172
943	2852	169
944	2855	166
945	2859	163
946	2861	160
947	2864	157
948	2867	154
949	2870	151
950	2874	148
951	2877	145
952	2881	142
953	2885	139
954	2888	136
955	2892	133
956	2896	130
957	2898	127
958	2901	124
959	2904	121
960	2907	118
961	2910	114
962	2913	111
963	2916	108
964	2918	105
965	2921	102
966	2924	99
967	2927	96
968	2930	93
969	2933	90
970	2936	87
971	2938	84
972	2941	81
973	2944	78
974	2947	75
975	2950	72
976	2952	69
977	2955	66
978	2958	63
979	2962	60
980	2965	57
981	2968	54
982	2972	51
983	2975	48
984	2979	45
985	2983	42
986	2986	39
987	2990	36
988	2993	33
989	2996	30
990	2999	27
991	3002	24
992	3005	21
993	3008	18
994	3011	15
995	3014	12
996	3017	9
997	3019	6
998	3023	3
999	3026	0
