iter	RMSE
0	0.3819115346
1	0.3717692895
2	0.3618169453
3	0.3521406111
4	0.3430496257
5	0.3345619936
6	0.3262155709
7	0.3178572073
8	0.3095980268
9	0.3025932868
10	0.2950707759
11	0.2880431512
12	0.2810417312
13	0.2746822516
14	0.2681804498
15	0.262199169
16	0.2559894516
17	0.2501111055
18	0.2442242163
19	0.2389547378
20	0.233810931
21	0.2290123734
22	0.2242382303
23	0.2200021178
24	0.215866919
25	0.212130624
26	0.2085090669
27	0.2048971557
28	0.2011995103
29	0.197625856
30	0.193985799
31	0.1907662921
32	0.1877708872
33	0.1850058672
34	0.1819480598
35	0.1791756946
36	0.1764164666
37	0.1737380149
38	0.1713492668
39	0.1688263801
40	0.1666682991
41	0.1644697714
42	0.1623545462
43	0.1603835759
44	0.1585117297
45	0.1566458726
46	0.1547613383
47	0.1530536508
48	0.1513787775
49	0.149639837
50	0.1481441946
51	0.1465481348
52	0.1449871174
53	0.1435365792
54	0.1422090823
55	0.1410900336
56	0.1399055687
57	0.1387631743
58	0.1376160681
59	0.1365750988
60	0.1355290108
61	0.1346530268
62	0.1336330286
63	0.1326687495
64	0.1316326663
65	0.130715779
66	0.1299384884
67	0.129045872
68	0.1284141799
69	0.1274855438
70	0.1267335965
71	0.1261033012
72	0.1254362344
73	0.1246091877
74	0.123810706
75	0.1230346552
76	0.1224261831
77	0.1218583128
78	0.1213268386
79	0.120696665
80	0.1202075865
81	0.1196696754
82	0.1192100682
83	0.1186719862
84	0.1180540683
85	0.1175490697
86	0.117148883
87	0.1165379906
88	0.1160799553
89	0.1156002077
90	0.1152250924
91	0.1148002765
92	0.114297615
93	0.1138200322
94	0.1134797396
95	0.1130587846
96	0.1125218598
97	0.1121667314
98	0.1118185576
99	0.1114187756
100	0.1110381534
101	0.1104935149
102	0.1100996313
103	0.1095994652
104	0.1090896513
105	0.1086498653
106	0.1082806288
107	0.1078830932
108	0.1075407999
109	0.1071712509
110	0.106778163
111	0.106466637
112	0.10603532
113	0.1058316985
114	0.1055543186
115	0.1053098417
116	0.1050085952
117	0.104689217
118	0.1043541097
119	0.1040497362
120	0.1036227213
121	0.1032685426
122	0.103064442
123	0.1027916559
124	0.1024315365
125	0.1022587365
126	0.1018875771
127	0.1016722725
128	0.1013590737
129	0.101134267
130	0.1009163913
131	0.1005820327
132	0.1003658232
133	0.1001497514
134	0.09985511097
135	0.09960940935
136	0.09940762657
137	0.09917485684
138	0.09895102643
139	0.09872111211
140	0.0985278657
141	0.09828342703
142	0.09807705782
143	0.09784215068
144	0.09768194141
145	0.09746492665
146	0.09727837082
147	0.09706193544
148	0.09684276819
149	0.09664513541
150	0.09641494025
151	0.09623510615
152	0.09606241288
153	0.09588128399
154	0.09571616232
155	0.09556811826
156	0.09535907127
157	0.09513926244
158	0.09492419173
159	0.09467941219
160	0.09442069589
161	0.09426743949
162	0.09408402186
163	0.09394823076
164	0.09373650735
165	0.0936103129
166	0.09340827232
167	0.09324567523
168	0.09303355831
169	0.09284439169
170	0.09259701685
171	0.09235022088
172	0.09220700438
173	0.09203053238
174	0.09184371521
175	0.09165601166
176	0.09146901416
177	0.09121051387
178	0.09106896321
179	0.09081422466
180	0.09056977422
181	0.09044000881
182	0.09028257531
183	0.09011901988
184	0.08994739807
185	0.08975280451
186	0.08953705073
187	0.08939683739
188	0.08916535399
189	0.08908641953
190	0.08895989363
191	0.08878436662
192	0.08862613531
193	0.08844423314
194	0.08832394068
195	0.08812156036
196	0.08792690222
197	0.08779734241
198	0.08760712342
199	0.08747064566
200	0.08734954671
201	0.08718067973
202	0.08706908216
203	0.086919366
204	0.08673094901
205	0.08656100243
206	0.08639773074
207	0.08627997739
208	0.086110764
209	0.08589955071
210	0.08579300021
211	0.08565785028
212	0.08545759309
213	0.08524495412
214	0.08509180743
215	0.08492277721
216	0.0848165661
217	0.08464986769
218	0.08455103015
219	0.08446936812
220	0.08433900416
221	0.0841917304
222	0.08405629963
223	0.08393873002
224	0.08381953328
225	0.0837113423
226	0.08359105925
227	0.08344904441
228	0.08334232862
229	0.08326429743
230	0.08314727866
231	0.0830689301
232	0.08295619248
233	0.08284918953
234	0.08279358754
235	0.0827219472
236	0.08257129425
237	0.08241617827
238	0.08234212349
239	0.08217185653
240	0.08208184361
241	0.08192795051
242	0.08181065994
243	0.08174255816
244	0.08162075222
245	0.08150408229
246	0.08134459468
247	0.08116057117
248	0.08110313069
249	0.0809679971
250	0.08088969281
251	0.08082539384
252	0.08069316751
253	0.08054463876
254	0.0804995539
255	0.08033599413
256	0.08015161071
257	0.08010367417
258	0.07994192739
259	0.0798034872
260	0.07964825732
261	0.07950133199
262	0.07931384291
263	0.07925984589
264	0.07912656799
265	0.07906844468
266	0.07893988902
267	0.07886852486
268	0.07873338696
269	0.07861700956
270	0.07857176732
271	0.07851505223
272	0.07841579614
273	0.07825649593
274	0.07823115194
275	0.07810110192
276	0.07804365083
277	0.07796948745
278	0.0777923262
279	0.07765445919
280	0.07754760228
281	0.07741129505
282	0.07734370935
283	0.07724838279
284	0.07714283942
285	0.07705716197
286	0.07695962102
287	0.0768693909
288	0.07676204369
289	0.07662992393
290	0.07653766667
291	0.07637257647
292	0.07625688229
293	0.07610939058
294	0.07598277271
295	0.07586249927
296	0.07571624959
297	0.07554469409
298	0.07543496081
299	0.07534164325
300	0.0752421696
301	0.07509606923
302	0.07501759211
303	0.07487179733
304	0.07475231729
305	0.07459934162
306	0.07452148806
307	0.07439825897
308	0.07428297365
309	0.07414228653
310	0.07401710698
311	0.07396641529
312	0.07384065192
313	0.07372019909
314	0.07358887318
315	0.0734323945
316	0.07332207791
317	0.07322442425
318	0.07312447404
319	0.0729907031
320	0.07291335824
321	0.07271187058
322	0.07261999858
323	0.07253320445
324	0.07237677603
325	0.07227064611
326	0.0722052355
327	0.0721246101
328	0.07198434072
329	0.07187922637
330	0.07175517674
331	0.0717044275
332	0.07160335152
333	0.07148786618
334	0.0713102005
335	0.0712028712
336	0.07111751113
337	0.07100491588
338	0.07092052042
339	0.07084569281
340	0.07078345043
341	0.07069733845
342	0.07062695938
343	0.07049275745
344	0.07038355309
345	0.07027454
346	0.07015906618
347	0.07002264042
348	0.06992870769
349	0.06985605186
350	0.06974176903
351	0.06961893021
352	0.06953643988
353	0.06939131486
354	0.06933254676
355	0.0692663575
356	0.06925036568
357	0.0691294753
358	0.06900878957
359	0.06894158443
360	0.06886014448
361	0.06876510759
362	0.06857829223
363	0.06847635308
364	0.06835784282
365	0.06829261637
366	0.06823023488
367	0.06817068709
368	0.06805291707
369	0.06794940967
370	0.06783570792
371	0.06774929583
372	0.06767656822
373	0.06755669984
374	0.06747395333
375	0.06741005548
376	0.06730606676
377	0.06725605882
378	0.06715367619
379	0.06702400999
380	0.06693098166
381	0.06682480271
382	0.06675863957
383	0.06670302499
384	0.06663271256
385	0.06653710672
386	0.06644280246
387	0.06638661687
388	0.06634576583
389	0.06630827189
390	0.06624675409
391	0.06609378724
392	0.06603320821
393	0.06597117409
394	0.06594921551
395	0.06589525203
396	0.06578636459
397	0.06570033694
398	0.06567773926
399	0.06565974387
400	0.06558696802
401	0.0654709555
402	0.06537271858
403	0.06535901388
404	0.06534592556
405	0.0652270946
406	0.06512015234
407	0.0650091858
408	0.06490157688
409	0.06484105493
410	0.06473898176
411	0.06463812161
412	0.06462136322
413	0.06453329444
414	0.06451036135
415	0.06442766282
416	0.06438771408
417	0.06432582727
418	0.06426315093
419	0.06414280311
420	0.06407222885
421	0.06402606088
422	0.06394544827
423	0.06383015965
424	0.06376205287
425	0.06369586918
426	0.06361021541
427	0.06349725119
428	0.06340534952
429	0.06332633141
430	0.06326174149
431	0.06310308277
432	0.06297504077
433	0.06287363994
434	0.06281716666
435	0.06272414273
436	0.06263536348
437	0.06254680809
438	0.06251625088
439	0.06243308625
440	0.06234644424
441	0.06225132657
442	0.06221143334
443	0.06212735687
444	0.06206217554
445	0.06195749477
446	0.06187706809
447	0.06181206831
448	0.0617391774
449	0.06163592745
450	0.06154899379
451	0.06145630666
452	0.06141084172
453	0.06135373897
454	0.06125897124
455	0.06119691734
456	0.06110594771
457	0.06101542802
458	0.06091444704
459	0.06086759671
460	0.0607592591
461	0.06068165563
462	0.06059702069
463	0.06049000621
464	0.06041397433
465	0.0603153991
466	0.06029926636
467	0.06026338114
468	0.06019353327
469	0.06018035699
470	0.06008622583
471	0.05999915083
472	0.05992231735
473	0.05981470344
474	0.05974414229
475	0.05970352603
476	0.05959814449
477	0.05951201454
478	0.05944841968
479	0.05936294468
480	0.0592743251
481	0.05917512455
482	0.05909979742
483	0.05908816737
484	0.0590796898
485	0.05902960158
486	0.05890436915
487	0.05886711069
488	0.05881334404
489	0.05865835004
490	0.05857518174
491	0.05848929936
492	0.05847492651
493	0.05842122076
494	0.05835411586
495	0.05825756483
496	0.05817876273
497	0.05813297918
498	0.05809780731
499	0.05805847665
500	0.05799282996
501	0.05797541719
502	0.05796423421
503	0.05786748757
504	0.05785716626
505	0.05780506499
506	0.05776467202
507	0.05765705944
508	0.0576044565
509	0.05749578741
510	0.05743107628
511	0.05736151995
512	0.05724901219
513	0.05715772066
514	0.05705285951
515	0.05700976359
516	0.05697574922
517	0.0569226546
518	0.05683867894
519	0.05672793897
520	0.05671898223
521	0.05661914159
522	0.05655305079
523	0.05644959069
524	0.05637889329
525	0.05635551135
526	0.0562371236
